# de actividad;Organización y proyecto;Nombre del evento;Disciplina;Fecha inicio;Fecha cierre;Municipio/ciudad;Departamento;Descripción;"Tipo de evento
(eventos de formación, eventos de circulación, eventos con público,)";Profesional asignado para el acompañamiento;Total beneficiarios;;;
1;"Fundación Cuna de Acordeones

Apoyo a premiaciones talentos Festival Cuna de Acordeones";Concurso Festival Cuna de Acordeones;MÚSICA;17/09/25;20/09/25;VILLANUEVA GUAJIRA;Guajira;Concursos de talento Vallenato en el marco del festival ;CIRCULACIÓN;Mónica Andrea López Sánchez;4000;;;
2;"Fundación Sociocultural La Nana

XXVIII FESTIVAL REGIONAL DEL TEATRO DE FUNDACION - Un escenario de Paz y Resiliencia";"XXVIII Festival Regional de Teatro
";TEATRO;"15/09/2025
";20/09/25;FUNDACIÓN  MAGDALENA;Magdalena; *Presentación de 20 funciones teatrales de carácter nacional e internacional, a cargo de 10 agrupaciones invitadas.;CIRCULACIÓN;Mónica Andrea López Sánchez;1000;;;
;;Formación talleres teatro, técnica mimo;;16/09/25;18/09/25;;;2 espacios de formación teatral en formato de taller, con una duración de 20 horas cada uno, enfocados en la temática del mimo, dirigidos a 100 estudiantes de dos instituciones educativas de los municipios de Fundación y Aracataca,;FORMACIÓN ;;200;;;
3;"Asociación de Autoridades Tradicionales indígenas ASOPAMURIMAJSA

Fortalecimiento de la identidad cultural y los saberes ancestrales mediante un encuentro de intercambio artesanal entre los resguardos de Asopamurimajsá, promoviendo la circulación del conocimiento y la cohesión comunitaria";"Foros de transmisión de saberes.
";Artesanía tradicional indígena, artes plásticas y visuales, música, danza y gastronomía tradicional.;21/09/25;22/09/25;SAN JOSÉ DEL GUAVIARE;Guaviare;" *2 sesiones de diálogo en formato de foros, entre ancianos sabedores (≥60 años) y jóvenes artesanos (15-25 años) de los 4 resguardos, enfocadas en técnicas ancestrales de cestería ""Simbolismo de los tintes naturales en la cestería Tukano"" (ritual de preparación de pigmentos)"" y ""Tejiendo memoria: patrones geométricos como narrativas territoriales""
";FORMACIÓN ;Mónica Andrea López Sánchez;1000;;;
;;Sesiones de muestra coperativa.;;21/09/25;22/09/25;;;"*4 sesiones tipo Muestra-Cooperativa: ""Raíces que Tejen Alianzas"" prácticas dirigidos por maestras Tukano Orientales para crear 15 prototipos híbridos (tradición + diseño contemporáneo)";FORMACIÓN-CIRCULACIÓN;;100;;;
;;Presentación de muestras artísticas. ;;21/09/25;22/09/25;;;*Presentación de muestras artísticas complementarias (música, danza, gastronomía) abiertas a la comunidad local y regional.;CIRCULACIÓN;;1000;;;
4;"FUNDACION FESTIVAL DE CINE VERDE

15° Festival de Cine Verde de Barichara";Proyecciones parque y auditorio Barichara;CINE;25/09/25;28/09/25;BARICHARA;Santander;Proyecciones de cine ambiental en el parque principal de Barichara.;CIRCULACIÓN;Mónica Andrea López Sánchez;2500;;;
;;Evento Campecine.;;25/09/25;28/09/25;;;*Cine en veredas y municipios de la provincia Guanentina en el marco del 15° Festiver, impactando a 2 municipios, 18 veredas y 1 corregimiento de Barichara.;CIRCULACIÓN;;800;;;
;;Agenda académica. ;;25/09/25;28/09/25;;; 4 talleres y 6 conversatorios con temática audiovisual.;FOMACIÓN;;400;;;
5;"Corporación para el Desarrollo y la Sostenibilidad Sin Fronteras

BARRANCABERMEJA LE CANTA  A LA PAZ";Espacios formativos.;MÚSICA; 15/09/2025;15/11/25;BUGA;Valle del Cauca;Cobertura de 300 a 630 niños y jóvenes, mediante la implementación de un modelo pedagógico estructurado que contempla la realización de 462  clases distribuidas en 42 sesiones semanales durante 11 semanas, con una intensidad de 4 horas semanales por grupo. Las clases se organizarán en grupos de iniciación musical (dos por escuela) y un grupo de sede principal, cada uno con sesiones de 2 horas, dictadas dos veces por semana, priorizando el desarrollo artístico, la convivencia, los valores y la formación integral en contextos comunitarios.;FORMACIÓN - CIRCULACIÓN;Mónica Andrea López Sánchez;500;;;
