Marca temporal,1. ¿Cuál es el nombre de la organización?,2. ¿Cuál es el nombre del proyecto?,3. Nombre del Asesor Orientador ,4. ¿En que departamento(s) se llevaron a cabo las activides en su proyecto?,"5. Por Favor escriba una lista con la(s) ciudad(es), municipio(s), vereda(s) o corregimiento(s) en las que desarrollaron las actividades en su proyecto (es importante que al lado del nombre, aclare la categoria territorial, ej. vereda Paloverde, municipio de Tabio).","6. ¿En cuantas ciudades, municipios, veredas o corregimientos se desarrollaron las actividades en su proyecto?",7. ¿Señale a cuál de las siguiente redes pertenece su proceso en el marco de este convenio?,8. ¿Cuál fue el número de personas BENEFICIARIAS DIRECTAS hicieron parte de la implementación en su proyecto? Recuerde que beneficiarios directos son todos aquellos que recibieron un pago dentro del proyecto,9. ¿Cuál fue el número de persona BENEFICIARIAS INDIRECTOS  participaron del desarrollo en su proyecto? Recuerde que beneficiarios directos son todos aquellos que participaron de procesos pedagógicos dentro del proyecto,10 ¿Cuál fue el número (estimado) de PERSONAS QUE PARTICIPARON como PÚBLICO/ESPECTADOR de los eventos de circulación/socialización en su proyecto?,Por favor suministrar 2 fotos en alta calidad de su proceso.
16/12/2025 12:04:58,"Corporación para el desarrollo coral de Buga, Corpacoros ",30o. Encuentro de música coral con ,Mónica Lopez,Valle del Cauca,"Buga, Ginebra, Roldanillo",Tres,Organizaciones Emergentes,19,200,3000,"https://drive.google.com/open?id=1DirjE69ng7SZhNMiaL-bR91PDXIIwpku, https://drive.google.com/open?id=1j8ZoCBjlgwTk9SiqXnAr5Y20v-hETm33, https://drive.google.com/open?id=1T4mope9x2ZZnl1lDtpQRjj039OTSZrFs, https://drive.google.com/open?id=13exNIL9ij0qqQTUBJysqAsfcPcjeJbcH"
16/12/2025 14:29:59,Corporación para el desarrollo y al sostenibilidad SIN FRONTERAS,BARRANCABERMEJA LE CANTA A LA PAZ,Mónica Lopez,SANTANDER ,BARRANCABERMEJA ,BARRANCABERMEJA,Organizaciones Emergentes,26,600,350,"https://drive.google.com/open?id=1tjlbt2axkgt2tzjCClZwpA5MXtHOaW2r, https://drive.google.com/open?id=1Bhcbw6K6lf3sUIDUC9mXUm8p5mWtqWYK"
15/12/2025 22:03:56,Tierra Pazifica/BOICOP,"FORTALECIMIENTO, VISIBILIZACIÓN, DIVULGACIÓN, PROMOCIÓN DE LA RED CULTURAL BIOCOP",Mónica López,Valle,Cali ,1,Organizaciones Emergentes,40,800,1,"https://drive.google.com/open?id=1QKq4G6hK4BydfkdH7p937Yf50YfMtNjc, https://drive.google.com/open?id=1MO5mTJz3jyHxGr-wZCkYDSGhc9iSqBC7, https://drive.google.com/open?id=12JFPRMKaP0GUpFZTlkqk_NCVpE6pEye9, https://drive.google.com/open?id=1gZJ7sdWr2XbvINrL1Ju_vYNCIc9ZIlZa"
16/12/2025 7:01:03,COPORACION DE DANZA DINASTIA  NEGRA,FESTIREDU,Mónica Lopez,ANTIOQUIA,CHIGORODÓ,1,Organizaciones Emergentes,39,174,4668,"https://drive.google.com/open?id=1-_yDGUlbkEgNATnut7tFJc_p_hpvmJ_I, https://drive.google.com/open?id=193iLXnY_xn8QxE-pBxVYRS6NVB1IU9pR"
16/12/2025 10:01:51,CORPORACION PARA LA PROMOCION DE LAS ARTES Y LAS LETRAS ULRIKA.,"promover y consolidar la obra literaria de Raúl Gómez Jattin como una herramienta pedagógica y cultural que contribuya al desarrollo educativo, intelectual y espiritual de las comunidades",Mónica Lopez,"Bogotá, Bolívar, Cordoba y Antioquia ","Bogotá, Cartagena, Montería, Cereté y Medellín",5,Organizaciones Emergentes,25,150,150,"https://drive.google.com/open?id=1rRhJY47X4VdTe6XnI6CGmZtY8tRdSgkM, https://drive.google.com/open?id=1T_C2zIEv45_0pbF2GFenb8AZMZ8vBhre"
16/12/2025 11:33:20,FUNDACION UNIDOS POR EL DESARROLLO COMUNITARIO,ENCUENTRO MUNICIPAL DE DANZAS SOY PELAYERO,Mónica Lopez,CÓRDOBA,SAN PELAYO,1,Organizaciones Emergentes,8,380,500,"https://drive.google.com/open?id=1lvghP7OWU5w_K_snegmBOTXGHmi2ylVM, https://drive.google.com/open?id=1cJkmDSYH7uRSt63_BlusrKTIbDEK9cTW"
16/12/2025 11:45:04,afroresilientes,circuito de formación en música y danza tradicional para población afrodescendiente: kimbele tambo y movimiento,Mónica Lopez,magdalena,"sector PESCAITO y corregimiento de BONDA, distrito de santamarta",2,Organizaciones Emergentes,12,60,300,"https://drive.google.com/open?id=1bYMsIlkGJAoOy2yOUoX3OepqeLGEbdjx, https://drive.google.com/open?id=1VkfTs9h8tDuZ0XYxooUSfR8vsVvgzKmt"
16/12/2025 13:07:17,Coral Santa María,Coro a la plaza - La Música te alimenta,Mónica Lopez,Caldas,Manizales,Uno (1),Organizaciones Emergentes,Nueve (9),Ciento veinticuatro (124),Ciento setenta y siete (177),"https://drive.google.com/open?id=1IvqjbFidyVy48ZdVwkajeNAz2Kxhs3QK, https://drive.google.com/open?id=1jPSK4Euo-lnCH05NleNspxqsSZaCYwNj, https://drive.google.com/open?id=1_ZD40dgRqHf8laEzo5xhbY9WIDtni4ca, https://drive.google.com/open?id=1HIzqlPRUYBV8mm6JhI1npne_FBTldtIz, https://drive.google.com/open?id=1HvKsxkO9ucJ6w4W9QqhR2m9KmPEtHHjX"
16/12/2025 13:10:58,Coral Santa María,Coro a la plaza - La Música te alimenta,Mónica Lopez,Caldas,Manizales,Una (1),Organizaciones Emergentes,Nueve (9),Ciento veinticuatro (124),Ciento setenta y siete (177),"https://drive.google.com/open?id=1k7Uju6kB9u8ctEikasT47tGXg3ssV_Ht, https://drive.google.com/open?id=1UuR-jUgepawkDcF0DeUTYBg-e64SFDb1, https://drive.google.com/open?id=1LoJKY6Fr8go6mcHk7LetsdMczMfS-IZT, https://drive.google.com/open?id=17nG-xTYRzkHHsEEypMjdn0TqMh5Rtyt2, https://drive.google.com/open?id=19A1u_t7jCyo7QEqn8BhJu7NCnZ9k3EVt"
16/12/2025 14:12:41,Fundación Socio Cultural La Nana ,XXVIII FESTIVAL REGIONAL DE TEATRO DE FUNDACIÓN y ARACATACA ,Mónica Lopez,Magdalena ,Aracataca y fundación ,2 Municipios,Organizaciones Emergentes,45 personas ,12.500 personas,12.500 personas,"https://drive.google.com/open?id=1vFk_MOqERa-XZUd1Tlftjaj7W2Wf_YK5, https://drive.google.com/open?id=1T-aYqG4gc1Z6DgVf7TaQ6h3GV-EpNs_m"
