" 1. CIRCULACION NACIONAL E INTERNACIONAL Desarrollar acciones que fortalezcan el ámbito de la circulación regional, nacional e internacional de las prácticas artísticas y saberes culturales.",,,,,,,,,,,,,,,,,
 ACTIVIDAD, DESCRIPCIÓN, VALOR UNITARIO, VALOR NETO, COSTOS OPERATIVOS 7%, VALOR TOTAL,, ORIENTADOR, SOLICITUD, VALOR COMPROMETIDO,COMITE,PROCESO,RUT IVA,OBSERVACIONES,,,,
FUNDACION MUJERES INDEPENDIENTES Y EMPRENDEDORAS," APOYO MOVILIDAD INTERNACIONAL GRUPOS-PARTICIPACIÓN DE LA BANDA MUSICAL DEL MUNICIPIO DE GUTIERREZ EN EL XXVII - FESTIVAL INTERNACIONAL MÚSICA Y FIESTA DE VALENCIA, ESPAÑA",  20.000.000 ,  20.000.000 ,  1.400.000 ,  21.400.000 , TIQ, MONICA, ´007,  20.000.000 ,20 MAYO 2025,"CIRCULACION: ""PARTICPACION DE LA BANDA MUSICAL DEL MUNICIPIO DE GUTIERREZ EN EL XXVII"" Excluidos de IVA según: LEY 1493 DE 2011 -  ARTÍCULO  6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO  3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",48 - Impuesto sobre las ventas Iva,"El Fondo les pidio facturar con Iva, lo cual no es concordante de acuerdo al articulo 6 Ley 1493 de 2011",,,,
MÓNICA  ÁVILA BALLESTEROS -TIQUETES AFRICA BATUTA, APOYO MOVILIDAD INTERNACIONAL INDIVIDUAL-ACOMPAÑAMIENTO GRUPO CORAL FEMENINO PERLAS DEL PACÍFICO-TUMACO,  12.327.319 ,  12.327.319 ,  862.912 ,  13.190.231 , TIQ, YULLI/BLANCA, ´009,  12.327.319 ,20 MAYO 2025,CIRCULACIÓN Persona natural,n/a,Proceso culminado,,,,
CORPORACION PRIVADA DE BENEFICIO SOCIAL L&M			, APOYO MOVILIDAD INTERNACIONAL GRUPOS-PARTICIPACIÓN DEL BALLET FOLKLÓRICO DE PAIPA,  70.000.000 ,  70.000.000 ,  4.900.000 ,  74.900.000 , TIQ, MONICA, ´015,  70.000.000 ,20 MAYO 2025,"CIRCULACION: “Este proyecto tiene como objetivo la financiación completa de la gira internacional del Ballet Folclórico de Paipa, una agrupación artística emblemática del municipio, conformada por 25 jóvenes bailarines y músicos formados en el Conservatorio de Bellas Artes. La gira se desarrollará entre el 17 de julio y el 3 de agosto de 2025 en Bulgaria, donde la delegación participará en el Festival Internacional de Folclore de Veliko Tarnovo, uno de los encuentros culturales más representativos del folclor europeo, reconocido por reunir agrupaciones de distintos continentes en torno al intercambio artístico y el fortalecimiento de las identidades culturales del mundo.” Excluidos de IVA según: LEY 1493 DE 2011 -  ARTÍCULO  6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO  3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",48 - Impuesto sobre las ventas Iva,"No se observa primer pago, ni contrato ni acta de inicio ni factura, Faltan informes y registro fotografico, anexo de gastos y recibos, faltan pagos y trasferencias",,,,
PAULA ANDREA ARELLANO ECHEVERRY y EVA MANUELA GUERRERO ARELLANO," APOYO MOVILIDAD CIRCULACIÓN INTERNACIONAL Y SOCIALIZACIÓN DE PROCESOS DEL BALLET  para dos personas, por ser menor de edad requiere acompañamiento de un adulto",  10.260.632 ,  10.260.632 ,  718.244 ,  10.978.876 , TIQ, YULLI/BLANCA, ´029,  10.260.632 ,21 JULIO 2025,CIRCULACIÓN Persona natural,n/a,Falta informes y registro fotografico,,,,
ASOCIACION TEATRO DANZA PIES DEL SOL, PRESENTACION EVENTO PUEBLOS AMAZONICOS,  10.256.410 ,  10.256.410 ,  717.949 ,  10.974.359 , CIR, YULLI/BLANCA, ´050,  10.256.410 ,19 AGOSTO 2025,CIRCULACIÓN,n/a,No se observa pago,,,,
CINE SIN FRONTERAS (TIQUETES - TIJUANA.MEXICO), APOYO PARTICIPACION COLECTIVOS EN TIJUANA,  25.000.000 ,  33.743.000 ,  2.362.010 ,  36.105.010 , TIQ, EMERSON, ´064,  33.743.000 ,28 AGOSTO 2025,CIRCULACIÓN Persona natural,n/a,,,,,
CONGRESO NACIONAL DE MUSICA, APOYO PARA EL CONGRESO IBAGUE,  30.000.000 ,  33.582.000 ,  2.350.740 ,  35.932.740 , CIR, YULLI/BLANCA, ´065 A -Vr ajustado,  33.582.000 ,28 AGOSTO 2025, CONGRESO CIRCULACION,n/a,"No se observa el pago, no se evidencia las facturas, ni soportes documentales fotograficos",,,,
THE GIANTS COMMUNITY (CRISTIAN PASTUSANO-CALI),  PROYECTO JUVENTUDES MERCADO CULTURAL,  80.000.000 ,  80.000.000 ,  5.600.000 ,  85.600.000 , CES, JEIMMY, ´071,  80.000.000 ,3 SEPTIEMBRE 2025,"CIRCULACION: “Desarrollar, del 18 al 23 de noviembre de 2025 en la ciudad de Cali, un festival de arte y cultura urbana que integre Street dance, rap, grafiti y música urbana, convocando a 30 colectivos juveniles de todo el país, con el propósito de fortalecer la industria creativa local y proyectar a los nuevos artistas colombianos en los escenarios e industrias culturales, tanto a nivel nacional como internacional.” Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",48 - Impuesto sobre las ventas Iva,"No se evidencian pagos, contratos y actas de inicio/DESEMBOLSO", Pago realizado el día 27 noviembre, FALTA SOLICITUD PAGO 2 ,, OK
TIQUETES A BRASIL (GRUPO DE MAR Y RIO), APOYO TIQUETES CIRCULACION,  20.000.000 ,  5.690.000 ,  398.300 ,  6.088.300 , YUL, YULLI/BLANCA, ´073 AJUSTAR VALOR,  5.690.000 ,3 SEPTIEMBRE 2025,CIRCULACIÓN Persona natural,n/a,"No se evidencian pagos, informes y documentos soportes",,,,
CORPORACIÓN EMERGIENDO -MANIZALES, FESTIVAL POLICROMÍA,  50.000.000 ,  50.000.000 ,  3.500.000 ,  53.500.000 , CES, JEIMMY, ´082,  50.000.000 ,15 SEPTIEMBRE 2025,"CIRCULACION, MEMORIA Y FORMACION: El proyecto se propone, entonces, fortalecer procesos de memoria, formación y circulación artística a través de cuatro apuestas articuladas: el Festival Narrativas Urbanas, la Escuela Itinerante de Arte, los Recorridos de la Memoria y la plataforma regional Tour Policromía.   Este desafío se convierte en un llamado a la creatividad, a la búsqueda de lenguajes y medios que nos permitan narrarnos, compartir y resignificar un pasado y presente profundamente doloroso y muchas veces silenciado. Cuyo objetivo es: Promover la construcción de la memoria histórica en los municipios de Manizales y Viterbo mediante procesos creativos, de intercambio y participativos que, a través del arte urbano y otros lenguajes artísticos en el espacio público, permitan reconocer, narrar y resignificar experiencias de violencia, exclusión y silenciamiento, que fomenten la reflexión crítica, el diálogo ciudadano y la corresponsabilidad frente a la historia colectiva.
Llevar a cabo la décima segunda edición del festival narrativas urbanas promoviendo la circulación de dos (2) artistas nacionales, dos (2) regionales y dos (2) locales, orientado a visibilizar las narrativas locales en el espacio público, promoviendo el acceso democrático a las artes, la participación ciudadana y el encuentro comunitario en torno a la memoria histórica, donde prima la creatividad, el arte y el espectáculo publico.
 Excluidos de IVA según: LEY 1493 DE 2011 -  ARTÍCULO  6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 

ARTÍCULO  3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.
",No registra responsabilidad de Iva,"No se evidencian pagos, contratos y actas de inicio",,,,
